latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
5.56227,5.07519,307.62,1.08,1.04,2022-05-03,0126,A,55,6.1NRT,293.79,5.37,N
4.66032,6.62002,304.09,1.33,1.14,2022-05-03,0126,A,58,6.1NRT,293.7,5.59,N
4.46496,7.47286,302.41,1.53,1.22,2022-05-03,0126,A,49,6.1NRT,291.86,7,N
4.24115,7.80106,305.37,1.63,1.26,2022-05-03,0126,A,29,6.1NRT,292.71,7.85,N
32.95005,3.233,302.99,1.91,1.35,2022-05-03,0120,A,53,6.1NRT,284.99,19.6,N
32.51757,6.71228,300.01,1.18,1.08,2022-05-03,0120,A,6,6.1NRT,285.64,8.77,N
31.66163,6.05513,301.26,1.24,1.11,2022-05-03,0120,A,39,6.1NRT,286.58,8.83,N
31.64081,5.97843,311,1.25,1.11,2022-05-03,0120,A,81,6.1NRT,285.74,17.92,N
31.63922,5.9915,313.06,1.25,1.11,2022-05-03,0120,A,86,6.1NRT,286.32,20,N
30.87719,5.64687,307.34,1.28,1.12,2022-05-03,0120,A,71,6.1NRT,286.01,15.21,N
28.68307,7.19455,303.95,1.05,1.02,2022-05-03,0122,A,58,6.1NRT,283.79,9.72,N
28.56386,7.52287,300.25,1.03,1.01,2022-05-03,0122,A,23,6.1NRT,284.22,6.74,N
28.08127,9.78987,304.28,1.03,1.02,2022-05-03,0122,A,59,6.1NRT,283.62,9.68,N
27.92414,9.25171,302.28,1.01,1.01,2022-05-03,0122,A,48,6.1NRT,285.42,7.37,N
26.58061,12.21497,301.9,1.37,1.16,2022-05-03,0122,A,45,6.1NRT,286.32,11.62,N
-44.49115,171.12476,302.73,2.47,1.51,2022-05-03,0206,A,53,6.1NRT,288.92,19.54,D
-44.49717,171.1499,300.5,2.46,1.51,2022-05-03,0206,A,38,6.1NRT,288.34,15.4,D
-44.49907,171.11873,302.91,2.47,1.51,2022-05-03,0206,A,54,6.1NRT,289.9,20.52,D
-42.61347,172.4353,302.31,1.98,1.37,2022-05-03,0206,A,49,6.1NRT,291.17,12.27,D
-42.61524,172.41096,304.09,1.99,1.38,2022-05-03,0206,A,58,6.1NRT,291.27,15.67,D
-42.62457,172.42949,300.51,1.98,1.37,2022-05-03,0206,A,32,6.1NRT,288.91,9.73,D
8.92301,-62.99115,323.55,3.95,1.85,2022-05-03,0149,T,100,6.1NRT,290.22,153.29,N
8.92868,-62.99864,321.7,3.95,1.85,2022-05-03,0149,T,100,6.1NRT,289.96,139.25,N
9.03627,-63.16438,307.13,4.05,1.87,2022-05-03,0149,T,70,6.1NRT,289.74,50.24,N
9.04118,-63.17049,305.51,4.05,1.87,2022-05-03,0149,T,65,6.1NRT,289.78,45.96,N
9.55989,-63.64211,302.43,4.31,1.92,2022-05-03,0149,T,43,6.1NRT,282.78,55,N
9.56259,-63.64946,300.39,4.31,1.92,2022-05-03,0149,T,21,6.1NRT,282.97,46.09,N
9.67987,-63.47679,304.03,4.17,1.89,2022-05-03,0149,T,26,6.1NRT,284.38,53.02,N
37.35661,126.95693,312.37,1.07,1.03,2022-05-03,0224,T,35,6.1NRT,299.37,7.65,D
36.99633,127.83054,312.07,1.15,1.07,2022-05-03,0224,T,28,6.1NRT,299.2,8.16,D
37.08657,126.90688,316.53,1.07,1.03,2022-05-03,0224,T,74,6.1NRT,300.94,9.56,D
36.96094,127.16665,313.86,1.09,1.04,2022-05-03,0224,T,66,6.1NRT,297.41,7.65,D
36.90118,127.06414,314.34,1.08,1.04,2022-05-03,0224,T,48,6.1NRT,299.54,7.06,D
36.87712,126.87889,314.1,1.07,1.03,2022-05-03,0224,T,54,6.1NRT,299.13,9.02,D
36.79264,127.06161,314.25,1.09,1.04,2022-05-03,0224,T,58,6.1NRT,298.49,6.51,D
36.59092,128.19823,312.15,1.21,1.09,2022-05-03,0224,T,49,6.1NRT,298.28,8.19,D
36.85286,126.4552,313.11,1.04,1.02,2022-05-03,0224,T,54,6.1NRT,300.9,8.4,D
36.78509,126.87431,314.47,1.07,1.03,2022-05-03,0224,T,72,6.1NRT,298.07,8.78,D
36.67392,126.75468,316.01,1.07,1.03,2022-05-03,0224,T,74,6.1NRT,300.54,8.74,D
36.14418,128.44781,314.5,1.26,1.12,2022-05-03,0224,T,36,6.1NRT,301.04,12.02,D
35.90984,128.94856,309.2,1.35,1.15,2022-05-03,0224,T,35,6.1NRT,296.84,10.81,D
35.86768,128.83073,315.31,1.33,1.14,2022-05-03,0224,T,51,6.1NRT,300.95,12.99,D
35.94627,127.13105,317.11,1.12,1.05,2022-05-03,0224,T,41,6.1NRT,303.76,10.61,D
35.96608,126.60411,315.03,1.07,1.03,2022-05-03,0224,T,30,6.1NRT,302.42,8.94,D
35.84958,126.86343,313.32,1.1,1.04,2022-05-03,0224,T,72,6.1NRT,299.83,7.51,D
35.33229,129.26167,305.77,1.44,1.19,2022-05-03,0224,T,44,6.1NRT,294.18,8.72,D
35.36248,128.47903,310.6,1.3,1.13,2022-05-03,0224,T,42,6.1NRT,299.12,9.02,D
35.61179,126.91,313.78,1.11,1.05,2022-05-03,0224,T,73,6.1NRT,300.08,8.57,D
35.58968,126.69462,315.31,1.09,1.04,2022-05-03,0224,T,75,6.1NRT,297.17,9.21,D
35.21665,128.82372,313.13,1.37,1.16,2022-05-03,0224,T,46,6.1NRT,299.34,11.61,D
35.28761,128.32149,312.66,1.28,1.12,2022-05-03,0224,T,50,6.1NRT,299.92,8.79,D
35.14745,128.98566,313.22,1.4,1.17,2022-05-03,0224,T,42,6.1NRT,300.97,15.79,D
35.12001,128.10207,312.27,1.26,1.12,2022-05-03,0224,T,56,6.1NRT,301.52,10.42,D
35.06581,128.05977,315.87,1.26,1.11,2022-05-03,0224,T,0,6.1NRT,302.43,11.49,D
34.99862,126.39946,317.73,1.08,1.04,2022-05-03,0224,T,57,6.1NRT,298.37,9.24,D
34.75875,126.51729,311.45,1.1,1.04,2022-05-03,0224,T,40,6.1NRT,297.5,7.31,D
34.60878,126.29969,311.68,1.08,1.04,2022-05-03,0224,T,0,6.1NRT,297,7.63,D
33.51858,120.02062,315.7,1.3,1.13,2022-05-03,0226,T,57,6.1NRT,302.45,12.06,D
30.31419,119.785,318.44,1.23,1.1,2022-05-03,0226,T,71,6.1NRT,303.61,13.4,D
50.10126,136.77316,300.93,1.6,1.24,2022-05-03,0221,T,0,6.1NRT,280.44,10.16,D
50.10006,136.44075,332.35,1.54,1.22,2022-05-03,0221,T,88,6.1NRT,290.01,59.16,D
50.09572,136.46136,306.96,1.55,1.23,2022-05-03,0221,T,65,6.1NRT,288.84,12.14,D
50.07203,136.51814,305.47,1.56,1.23,2022-05-03,0221,T,53,6.1NRT,285.37,10.53,D
48.65899,134.71524,301.48,1.4,1.17,2022-05-03,0221,T,0,6.1NRT,267.39,11.64,D
48.73741,134.26294,315.32,1.34,1.15,2022-05-03,0221,T,38,6.1NRT,285.6,17.02,D
48.66196,134.47971,316.31,1.37,1.16,2022-05-03,0221,T,25,6.1NRT,288.78,20.39,D
48.65666,134.47063,324.84,1.37,1.16,2022-05-03,0221,T,48,6.1NRT,291.55,31.41,D
48.64662,134.46611,313.01,1.37,1.16,2022-05-03,0221,T,17,6.1NRT,292.2,15.04,D
48.73137,133.8613,304.91,1.29,1.13,2022-05-03,0221,T,23,6.1NRT,278.18,11.02,D
48.59544,134.18739,311.52,1.34,1.15,2022-05-03,0221,T,24,6.1NRT,285.99,13.48,D
48.58864,134.22241,313.02,1.34,1.15,2022-05-03,0221,T,46,6.1NRT,285.14,15.81,D
48.51151,134.28386,325.86,1.36,1.15,2022-05-03,0221,T,84,6.1NRT,286.02,35.46,D
48.50151,134.27943,326.53,1.36,1.15,2022-05-03,0221,T,68,6.1NRT,285.46,34.99,D
48.50569,134.27481,326.78,1.36,1.15,2022-05-03,0221,T,68,6.1NRT,285.96,35.47,D
48.49225,134.28807,321.98,1.36,1.15,2022-05-03,0221,T,77,6.1NRT,285.86,28.27,D
48.45221,134.27034,306.74,1.36,1.15,2022-05-03,0221,T,42,6.1NRT,287.77,9.41,D
47.96664,134.97159,307.88,1.5,1.21,2022-05-03,0221,T,58,6.1NRT,286.31,12.84,D
47.96273,134.99084,310.58,1.5,1.21,2022-05-03,0221,T,70,6.1NRT,287.99,15.89,D
48.87251,125.24086,300.52,1.17,1.07,2022-05-03,0221,T,38,6.1NRT,282.06,4.88,D
46.61104,127.10727,314.78,1.01,1.01,2022-05-03,0221,T,73,6.1NRT,290.2,9.9,D
46.51769,127.11469,311.44,1.01,1.01,2022-05-03,0221,T,71,6.1NRT,290.2,7.16,D
46.5392,126.89077,347.2,1.02,1.01,2022-05-03,0221,T,95,6.1NRT,287.71,53.85,D
46.53026,126.88827,311.21,1.02,1.01,2022-05-03,0221,T,53,6.1NRT,284.22,6.46,D
46.52669,126.91441,313.6,1.02,1.01,2022-05-03,0221,T,46,6.1NRT,283.7,9.21,D
46.52804,126.62875,308.81,1.03,1.01,2022-05-03,0221,T,68,6.1NRT,286.29,6.22,D
46.43849,127.01884,315.42,1.01,1.01,2022-05-03,0221,T,53,6.1NRT,290.57,7.12,D
46.41885,127.02679,318.27,1.01,1.01,2022-05-03,0221,T,78,6.1NRT,291.53,10.44,D
46.41528,126.98534,309.82,1.01,1.01,2022-05-03,0221,T,54,6.1NRT,288.98,3.75,D
45.99701,129.24857,307.95,1.03,1.01,2022-05-03,0221,T,56,6.1NRT,291.06,5.86,D
46.27278,126.67616,304.05,1.02,1.01,2022-05-03,0221,T,30,6.1NRT,282.27,4.29,D
46.27102,126.68922,306.28,1.02,1.01,2022-05-03,0221,T,56,6.1NRT,281.05,5.47,D
45.97482,128.73602,309.19,1.01,1,2022-05-03,0221,T,40,6.1NRT,286.7,5.4,D
45.83881,128.83423,307.75,1.01,1.01,2022-05-03,0221,T,12,6.1NRT,285.3,4.73,D
45.96101,127.39207,305.01,1,1,2022-05-03,0221,T,50,6.1NRT,281.95,5.29,D
45.75436,127.47879,307.1,1,1,2022-05-03,0221,T,53,6.1NRT,283.83,3.25,D
45.43885,126.63278,310.9,1.01,1.01,2022-05-03,0221,T,69,6.1NRT,290.69,5.78,D
45.35892,125.78058,310.02,1.05,1.02,2022-05-03,0221,T,63,6.1NRT,288.22,4.78,D
44.55817,129.56848,306.98,1.07,1.03,2022-05-03,0221,T,47,6.1NRT,287.72,5.45,D
44.79009,126.65,306.87,1.01,1,2022-05-03,0221,T,59,6.1NRT,287.91,4.72,D
44.516,126.36249,316.79,1.01,1.01,2022-05-03,0221,T,75,6.1NRT,290.28,10.34,D
