latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.37722,131.47609,324.32,1,1,2022-04-29,0124,T,37,6.1NRT,302.5,9.32,D
-14.46556,131.20174,323.45,1.01,1,2022-04-29,0124,T,53,6.1NRT,302.41,7.44,D
-14.4683,131.22026,324.12,1,1,2022-04-29,0124,T,54,6.1NRT,303.43,9.84,D
-14.81388,131.81862,320.28,1,1,2022-04-29,0124,T,35,6.1NRT,303.88,5.8,D
-14.82287,131.81726,322.53,1,1,2022-04-29,0124,T,62,6.1NRT,304.06,8.17,D
-14.81896,130.60936,320.01,1.02,1.01,2022-04-29,0124,T,41,6.1NRT,303.13,6.93,D
-14.94978,130.92842,321.54,1.01,1,2022-04-29,0124,T,61,6.1NRT,303.91,6.98,D
-15.03397,131.2477,326.52,1,1,2022-04-29,0124,T,55,6.1NRT,305.4,10.94,D
-15.04432,131.25557,327,1,1,2022-04-29,0124,T,65,6.1NRT,306.27,11.21,D
-15.04568,131.26482,328.16,1,1,2022-04-29,0124,T,73,6.1NRT,306.56,13.18,D
-14.56026,127.91893,320.6,1.36,1.16,2022-04-29,0124,T,46,6.1NRT,299.97,10.76,D
-15.09172,131.32692,337.73,1,1,2022-04-29,0124,T,85,6.1NRT,307.23,25.9,D
-15.1148,131.17206,323.44,1,1,2022-04-29,0124,T,42,6.1NRT,305.5,8.41,D
-15.12379,131.17068,348.5,1,1,2022-04-29,0124,T,93,6.1NRT,307.06,44.52,D
-15.12516,131.17993,350.57,1,1,2022-04-29,0124,T,95,6.1NRT,306.66,49.92,D
-15.13415,131.17857,339.98,1,1,2022-04-29,0124,T,87,6.1NRT,308.04,29.09,D
-15.13551,131.18782,328.86,1,1,2022-04-29,0124,T,71,6.1NRT,307.3,13.75,D
-15.16844,131.34698,328.22,1,1,2022-04-29,0124,T,64,6.1NRT,307.27,12.13,D
-15.1698,131.35623,328.29,1,1,2022-04-29,0124,T,75,6.1NRT,306.91,13.01,D
-15.17469,131.32713,323.92,1,1,2022-04-29,0124,T,67,6.1NRT,306.52,8.3,D
-15.17877,131.35486,321.67,1,1,2022-04-29,0124,T,60,6.1NRT,306.91,6.34,D
-14.49535,126.48468,314.7,1.72,1.29,2022-04-29,0124,T,39,6.1NRT,297.66,10.52,D
-14.93764,128.03456,319,1.32,1.14,2022-04-29,0124,T,50,6.1NRT,299.33,8.9,D
-16.51359,137.08046,317.13,1.93,1.36,2022-04-29,0124,T,58,6.1NRT,297.13,19.97,D
-16.65583,137.09297,314.89,1.95,1.36,2022-04-29,0124,T,40,6.1NRT,293.36,17.9,D
-15.48662,127.25273,325.13,1.46,1.19,2022-04-29,0124,T,75,6.1NRT,299.18,24.28,D
-15.69063,127.03539,336.77,1.5,1.21,2022-04-29,0124,T,86,6.1NRT,300.11,49.74,D
-15.69249,127.02838,320.94,1.5,1.21,2022-04-29,0124,T,68,6.1NRT,299.62,15.32,D
-15.69486,127.04235,322.37,1.49,1.21,2022-04-29,0124,T,71,6.1NRT,300.26,17.66,D
-15.64782,126.56332,332.57,1.62,1.25,2022-04-29,0124,T,83,6.1NRT,300.27,48.09,D
-15.65035,126.57829,327.84,1.61,1.25,2022-04-29,0124,T,79,6.1NRT,300.04,34.8,D
-15.66402,126.5911,328.96,1.61,1.25,2022-04-29,0124,T,80,6.1NRT,300.98,37.12,D
-15.71312,126.74856,336.33,1.57,1.23,2022-04-29,0124,T,86,6.1NRT,301.07,54.29,D
-15.74831,126.96185,322.96,1.51,1.21,2022-04-29,0124,T,72,6.1NRT,298.23,20.88,D
-15.72416,126.74664,325.96,1.57,1.23,2022-04-29,0124,T,76,6.1NRT,301.85,27.57,D
-15.72802,126.70087,318,1.58,1.24,2022-04-29,0124,T,52,6.1NRT,301.37,11.36,D
-15.72821,126.6946,322.74,1.58,1.24,2022-04-29,0124,T,72,6.1NRT,301.6,21.84,D
-15.85538,127.44689,321.66,1.4,1.17,2022-04-29,0124,T,69,6.1NRT,296.58,16.28,D
-15.74166,126.5715,328.54,1.61,1.25,2022-04-29,0124,T,73,6.1NRT,299.8,31.37,D
-15.74415,126.58622,328.31,1.6,1.25,2022-04-29,0124,T,69,6.1NRT,300.6,31.5,D
-15.77144,126.61204,330.05,1.6,1.24,2022-04-29,0124,T,69,6.1NRT,301.64,32.83,D
-15.77763,126.58028,320.41,1.6,1.25,2022-04-29,0124,T,36,6.1NRT,299.37,16.75,D
-15.78498,126.62453,325.76,1.59,1.24,2022-04-29,0124,T,33,6.1NRT,302.67,24.49,D
-15.88053,126.64616,329.15,1.58,1.24,2022-04-29,0124,T,80,6.1NRT,300.78,36.59,D
-15.88297,126.66088,324.01,1.58,1.24,2022-04-29,0124,T,62,6.1NRT,300.6,23.75,D
-15.97029,126.69932,329.62,1.56,1.23,2022-04-29,0124,T,60,6.1NRT,296.2,36.58,D
-15.98133,126.69746,324.41,1.56,1.23,2022-04-29,0124,T,60,6.1NRT,295.01,26.94,D
-15.9837,126.71176,332.66,1.56,1.23,2022-04-29,0124,T,83,6.1NRT,297.07,43.26,D
-15.98606,126.72601,349.76,1.55,1.23,2022-04-29,0124,T,95,6.1NRT,301.57,98.65,D
-16.0754,126.97832,316.69,1.49,1.2,2022-04-29,0124,T,41,6.1NRT,298.72,7.86,D
-16.19892,127.46249,316.73,1.38,1.16,2022-04-29,0124,T,37,6.1NRT,297.49,7.85,D
-16.29984,126.73364,325.55,1.53,1.22,2022-04-29,0126,T,75,6.1NRT,292.34,30.98,D
-16.80048,128.0789,330.69,1.24,1.11,2022-04-29,0126,T,78,6.1NRT,302.67,21.08,D
-16.80234,128.09033,336.1,1.24,1.11,2022-04-29,0126,T,84,6.1NRT,303.23,31.19,D
-16.80853,128.06572,330.42,1.24,1.11,2022-04-29,0126,T,78,6.1NRT,304.16,20.09,D
-16.81226,128.0887,333.22,1.24,1.11,2022-04-29,0126,T,81,6.1NRT,303.94,26.14,D
-16.67719,125.28745,318.53,1.91,1.35,2022-04-29,0126,T,60,6.1NRT,296.17,24.61,D
-16.68024,125.30528,322.24,1.91,1.35,2022-04-29,0126,T,74,6.1NRT,295.86,33.66,D
-16.67173,125.29987,317.79,1.91,1.35,2022-04-29,0126,T,45,6.1NRT,294.93,22.26,D
-16.68384,125.29781,323.26,1.91,1.35,2022-04-29,0126,T,75,6.1NRT,296.99,36.47,D
-16.74455,125.43098,320.69,1.86,1.33,2022-04-29,0126,T,72,6.1NRT,299.78,26.33,D
-16.67758,124.97759,313.52,2.02,1.38,2022-04-29,0126,T,45,6.1NRT,295.67,15.86,D
-16.75024,125.32147,319.52,1.9,1.35,2022-04-29,0126,T,67,6.1NRT,298.34,23.15,D
-16.7863,125.31445,321.66,1.9,1.35,2022-04-29,0126,T,73,6.1NRT,298.66,26.26,D
-16.79045,125.30772,316.15,1.9,1.35,2022-04-29,0126,T,45,6.1NRT,298.3,15,D
-16.79563,125.19571,328.81,1.93,1.36,2022-04-29,0126,T,81,6.1NRT,297.7,47.87,D
-16.80779,125.19353,318.87,1.93,1.36,2022-04-29,0126,T,57,6.1NRT,298.69,20.52,D
-16.93419,125.85423,323.47,1.72,1.29,2022-04-29,0126,T,69,6.1NRT,300.49,25.58,D
-16.93692,125.87016,344.09,1.72,1.29,2022-04-29,0126,T,92,6.1NRT,303.7,90.76,D
-16.9346,125.78666,314.88,1.74,1.29,2022-04-29,0126,T,42,6.1NRT,298.1,10.72,D
-16.82205,125.10947,312.56,1.96,1.37,2022-04-29,0126,T,48,6.1NRT,294.89,12.71,D
-17.10412,126.24474,332.79,1.6,1.25,2022-04-29,0126,T,84,6.1NRT,303.39,44.96,D
-17.11528,126.24266,322.04,1.6,1.25,2022-04-29,0126,T,63,6.1NRT,303.11,19.61,D
-17.04794,125.12918,313.67,1.93,1.36,2022-04-29,0126,T,52,6.1NRT,296.41,12.65,D
-17.25457,125.90421,330.56,1.68,1.28,2022-04-29,0126,T,82,6.1NRT,304.2,41.64,D
-17.25726,125.92024,325.56,1.68,1.27,2022-04-29,0126,T,77,6.1NRT,304.71,28.01,D
-17.25457,125.91458,331.15,1.68,1.27,2022-04-29,0126,T,82,6.1NRT,304.74,43.12,D
-17.30758,125.74158,317.62,1.73,1.29,2022-04-29,0126,T,56,6.1NRT,303.05,12.98,D
-17.40858,125.86378,320.89,1.68,1.28,2022-04-29,0126,T,69,6.1NRT,302.46,19.9,D
-17.41116,125.87891,327.55,1.68,1.27,2022-04-29,0126,T,78,6.1NRT,303.82,35.92,D
-17.45709,125.88226,322.17,1.68,1.27,2022-04-29,0126,T,71,6.1NRT,302.02,23.48,D
-17.42647,125.32107,316.94,1.84,1.33,2022-04-29,0126,T,59,6.1NRT,302.34,15.1,D
